Type_Value,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Other Territories,census_year,sex,country,total_all_states,iso_code,diff
Afghanistan_C11_P,8949,9947,1805,3288,3927,45,187,344,116,2011,P,Afghanistan,28608,AFG,
Afghanistan_C16_P,13029,18117,3381,6313,5114,305,61,472,3,2016,P,Afghanistan,46795,AFG,18187.0
Afghanistan_C21_P,14623,25432,4733,8214,5724,290,37,745,4,2021,P,Afghanistan,59802,AFG,13007.0
Bangladesh_C11_P,17009,5118,1670,1284,1492,54,169,1014,3,2011,P,Bangladesh,27813,BGD,
Bangladesh_C16_P,24218,7830,2766,1967,2583,106,398,1366,5,2016,P,Bangladesh,41239,BGD,13426.0
Bangladesh_C21_P,29600,10295,3304,2246,2816,595,701,1938,0,2021,P,Bangladesh,51495,BGD,10256.0
Canada_C11_P,11948,7771,9668,2164,5150,745,340,1082,0,2011,P,Canada,38868,CAN,
Canada_C16_P,13283,8969,10804,2224,5431,819,357,1159,7,2016,P,Canada,43053,CAN,4185.0
Canada_C21_P,15214,10438,12883,2623,6285,1022,357,1386,10,2021,P,Canada,50218,CAN,7165.0
China_C11_P,156035,93898,27040,15937,16691,1914,865,6584,3,2011,P,China,318967,CHN,
China_C16_P,234506,160652,47111,24609,27077,3031,1196,11348,20,2016,P,China,509550,CHN,190583.0
China_C21_P,247595,171447,55762,25709,28415,6830,1705,12149,16,2021,P,China,549628,CHN,40078.0
Croatia_C11_P,17699,17247,3808,3132,5147,280,53,1466,0,2011,P,Croatia,48832,HRV,
Croatia_C16_P,15638,15490,3550,2865,4557,246,43,1304,0,2016,P,Croatia,43693,HRV,-5139.0
Croatia_C21_P,15483,15260,3633,2829,4502,227,31,1347,0,2021,P,Croatia,43312,HRV,-381.0
Egypt_C11_P,18409,12489,2072,1229,1847,111,53,312,3,2011,P,Egypt,36525,EGY,
Egypt_C16_P,19727,13285,2451,1466,2212,132,58,448,3,2016,P,Egypt,39782,EGY,3257.0
Egypt_C21_P,21142,14085,2955,1688,2530,201,72,541,0,2021,P,Egypt,43214,EGY,3432.0
Fiji_C11_P,32305,9710,11405,1163,1032,273,286,810,0,2011,P,Fiji,56984,FJI,
Fiji_C16_P,33879,10827,12610,1200,1327,250,428,905,54,2016,P,Fiji,61480,FJI,4496.0
Fiji_C21_P,37370,12435,14465,1314,1480,270,526,1059,42,2021,P,Fiji,68961,FJI,7481.0
Germany_C11_P,31087,28020,21025,11411,10963,2194,967,2329,6,2011,P,Germany,108002,DEU,
Germany_C16_P,29538,26315,20387,10118,10960,2108,931,2224,11,2016,P,Germany,102592,DEU,-5410.0
Germany_C21_P,28921,25365,20981,9489,11366,2087,824,2210,13,2021,P,Germany,101256,DEU,-1336.0
Greece_C11_P,31544,49989,3444,9760,2649,477,1010,1064,0,2011,P,Greece,99937,GRC,
Greece_C16_P,29479,47236,3304,8681,2308,481,1268,978,0,2016,P,Greece,93735,GRC,-6202.0
Greece_C21_P,29399,46623,3354,8145,2142,462,1180,1000,0,2021,P,Greece,92305,GRC,-1430.0
Hong_Kong_C11_P,38572,18205,8729,2744,4757,331,228,1392,0,2011,P,Hong Kong,74958,HKG,
Hong_Kong_C16_P,42347,21640,10751,3575,6130,459,285,1684,15,2016,P,Hong Kong,86886,HKG,11928.0
Hong_Kong_C21_P,48129,25324,12829,4252,6535,858,329,1899,3,2021,P,Hong Kong,100158,HKG,13272.0
India_C11_P,95386,111783,30260,18742,29917,1467,1920,5883,6,2011,P,India,295364,IND,
India_C16_P,143459,169808,49144,27592,49384,1980,3595,10414,11,2016,P,India,455387,IND,160023.0
India_C21_P,208962,258193,71819,44881,61088,6137,5045,17203,26,2021,P,India,673354,IND,217967.0
Indonesia_C11_P,26831,15410,6561,1950,10139,240,1001,1016,15,2011,P,Indonesia,63163,IDN,
Indonesia_C16_P,31774,17806,7321,2141,11394,336,1119,1301,17,2016,P,Indonesia,73209,IDN,10046.0
Indonesia_C21_P,37907,20643,8696,2378,14062,601,1439,1325,17,2021,P,Indonesia,87068,IDN,13859.0
Iran_C11_Cens_P,15464,7444,3565,2826,3725,190,358,547,333,2011,P,Iran ,34452,,
Iran_C16_Cens_P,23043,16627,6508,4526,5814,562,155,841,31,2016,P,Iran ,58107,,23655.0
Iran_C21_Cens_P,27515,21923,8016,5213,6440,553,106,1114,11,2021,P,Iran ,70891,,12784.0
Iraq_C11_P,29343,12797,1542,1318,2594,63,98,319,95,2011,P,Iraq,48169,IRQ,
Iraq_C16_P,40276,18642,2845,1477,3426,98,43,536,14,2016,P,Iraq,67357,IRQ,19188.0
Iraq_C21_P,55353,26083,5332,1629,3637,114,34,731,12,2021,P,Iraq,92925,IRQ,25568.0
Ireland_C11_P,21923,14587,10904,3479,14292,662,630,842,0,2011,P,Ireland,67319,IRL,
Ireland_C16_P,24037,15621,11354,3301,18034,676,1022,844,3,2016,P,Ireland,74892,IRL,7573.0
Ireland_C21_P,27001,17456,12611,3295,18147,745,755,901,3,2021,P,Ireland,80914,IRL,6022.0
Italy_C11_P,51623,76908,13235,20710,19476,968,451,2036,0,2011,P,Italy,185407,ITA,
Italy_C16_P,49474,70530,12997,18537,19204,848,503,1942,3,2016,P,Italy,174038,ITA,-11369.0
Italy_C21_P,47197,64796,13217,16653,18175,874,502,1912,3,2021,P,Italy,163329,ITA,-10709.0
Japan_C11_P,12108,6821,10313,1387,3565,344,174,667,0,2011,P,Japan,35379,JPN,
Japan_C16_P,14012,8516,12400,1523,4296,411,472,789,0,2016,P,Japan,42419,JPN,7040.0
Japan_C21_P,14894,9251,13236,1640,4716,460,223,850,6,2021,P,Japan,45276,JPN,2857.0
Korea_C11_P,41818,10194,12555,3397,4102,627,294,1559,0,2011,P,"Korea, South",74546,KOR,
Korea_C16_P,51817,14796,18331,3680,6865,597,407,2282,0,2016,P,"Korea, South",98775,KOR,24229.0
Korea_C21_P,53046,15429,19658,3837,6429,773,362,2553,0,2021,P,"Korea, South",102087,KOR,3312.0
Lebanon_C11_P,56297,15870,1295,1462,1028,65,48,382,0,2011,P,Lebanon,76447,LBN,
Lebanon_C16_P,57375,16684,1414,1539,1099,78,53,399,9,2016,P,Lebanon,78650,LBN,2203.0
Lebanon_C21_P,63293,18689,1661,1827,1245,109,47,464,8,2021,P,Lebanon,87343,LBN,8693.0
Malaysia_C11_P,27259,39794,12791,6952,24968,1203,631,2202,400,2011,P,Malaysia,116200,MYS,
Malaysia_C16_P,31652,50048,14848,7744,29124,1415,707,2433,395,2016,P,Malaysia,138366,MYS,22166.0
Malaysia_C21_P,39555,62662,16618,9099,32282,1443,756,2851,339,2021,P,Malaysia,165605,MYS,27239.0
Nepal_C11_P,15298,4310,2140,1035,920,296,354,289,0,2011,P,Nepal,24642,NPL,
Nepal_C16_P,32122,9391,5074,2853,2621,810,1126,766,0,2016,P,Nepal,54763,NPL,30121.0
Nepal_C21_P,64946,20154,10806,7250,4449,6219,2994,5689,0,2021,P,Nepal,122507,NPL,67744.0
Netherlands_C11_P,18214,21636,14988,7282,9978,2378,449,1120,0,2011,P,Netherlands,76045,NLD,
Netherlands_C16_P,16898,19816,14066,6597,9130,2196,421,1041,3,2016,P,Netherlands,70168,NLD,-5877.0
Netherlands_C21_P,15777,18477,13746,6146,8833,2136,349,1004,9,2021,P,Netherlands,66477,NLD,-3691.0
New_Zealand_C11_P,114230,80238,192034,12851,70737,4920,3972,4391,24,2011,P,New Zealand,483397,NZL,
New_Zealand_C16_P,117138,93254,201202,12933,79222,4980,4635,4728,362,2016,P,New Zealand,518454,NZL,35057.0
New_Zealand_C21_P,118527,99344,208572,13461,75591,5483,4041,5122,350,2021,P,New Zealand,530491,NZL,12037.0
Pakistan_C11_P,13382,9192,2357,1357,2525,111,193,1086,20,2011,P,Pakistan,30223,PAK,
Pakistan_C16_P,24523,21125,4669,3442,5442,350,351,1997,8,2016,P,Pakistan,61907,PAK,31684.0
Pakistan_C21_P,33902,30945,6434,5666,7615,1469,687,2906,12,2021,P,Pakistan,89636,PAK,27729.0
Philippines_C11_P,70387,38003,29462,8860,17234,1267,3581,2420,10,2011,P,Philippines,171224,PHL,
Philippines_C16_P,86752,51287,39656,12460,30835,1616,5912,3797,66,2016,P,Philippines,232381,PHL,61157.0
Philippines_C21_P,106930,68463,51529,15503,37524,2441,6391,5058,60,2021,P,Philippines,293899,PHL,61518.0
Poland_C11_P,14329,16385,5053,5552,5564,661,105,1022,4,2011,P,Poland,48675,POL,
Poland_C16_P,13450,14711,5026,4957,5575,578,127,943,0,2016,P,Poland,45367,POL,-3308.0
Poland_C21_P,13830,14202,5740,4777,5608,584,131,1009,0,2021,P,Poland,45881,POL,514.0
Singapore_C11_P,11225,13699,5987,2105,13975,447,236,920,55,2011,P,Singapore,48649,SGP,
Singapore_C16_P,12734,16062,6712,2488,14987,568,304,1029,51,2016,P,Singapore,54935,SGP,6286.0
Singapore_C21_P,14665,17954,7536,2789,15995,583,306,1165,44,2021,P,Singapore,61037,SGP,6102.0
South_Africa_C11_P,40248,24452,35552,6206,35328,1509,752,1629,8,2011,P,South Africa,145684,ZAF,
South_Africa_C16_P,43059,27188,40133,6609,41008,1521,889,2013,28,2016,P,South Africa,162448,ZAF,16764.0
South_Africa_C21_P,49740,31274,49699,8212,44889,2089,949,2338,14,2021,P,South Africa,189204,ZAF,26756.0
Sri_Lanka_C11_P,23705,43991,7696,2671,5339,291,451,2269,7,2011,P,Sri Lanka,86420,LKA,
Sri_Lanka_C16_P,28732,55833,9756,3790,7794,393,777,2775,0,2016,P,Sri Lanka,109850,LKA,23430.0
Sri_Lanka_C21_P,31427,68066,12009,5311,9158,1361,1259,3304,12,2021,P,Sri Lanka,131907,LKA,22057.0
Taiwan_C11_P,8683,5685,10897,926,1722,122,235,359,0,2011,P,Taiwan,28629,TWN,
Taiwan_C16_P,13491,9900,15590,1704,4668,306,628,522,4,2016,P,Taiwan,46813,TWN,18184.0
Taiwan_C21_P,14544,10719,16600,1739,4008,696,510,693,0,2021,P,Taiwan,49509,TWN,2696.0
Thailand_C11_P,17536,10765,7023,2210,5664,473,724,1045,15,2011,P,Thailand,45455,THA,
Thailand_C16_P,26713,15977,9980,2845,7806,610,959,1305,24,2016,P,Thailand,66219,THA,20764.0
Thailand_C21_P,31633,21059,13870,3604,10003,862,1101,1619,16,2021,P,Thailand,83767,THA,17548.0
Unitd_Kingdom_C11_P,274822,213376,214330,122262,230419,23282,6422,16110,69,2011,P,United Kingdom,1101092,GBR,
Unitd_Kingdom_C16_P,270877,209773,214370,115111,233047,22166,6718,15568,141,2016,P,United Kingdom,1087771,GBR,-13321.0
Unitd_Kingdom_C21_P,275351,212739,227177,112206,236098,22706,5998,16011,122,2021,P,United Kingdom,1108408,GBR,20637.0
Unit_Sts_Amer_C11_P,26531,16848,15806,4032,8864,1463,1056,2414,5,2011,P,United States,77019,USA,
Unit_Sts_Amer_C16_P,30084,19695,17052,4355,9303,1628,1218,2776,13,2016,P,United States,86124,USA,9105.0
Unit_Sts_Amer_C21_P,34832,23964,20271,5233,10366,2056,1195,3371,21,2021,P,United States,101309,USA,15185.0
Vietnam_C11_P,71838,68292,16269,12025,12712,266,673,2956,8,2011,P,Vietnam,185039,VNM,
Vietnam_C16_P,84129,80790,19547,14338,15840,401,935,3336,33,2016,P,Vietnam,219349,VNM,34310.0
Vietnam_C21_P,97995,93598,24455,17033,18080,1390,1350,4082,14,2021,P,Vietnam,257997,VNM,38648.0
Born_elsewhere_C11_P,316431,274469,135249,49316,96052,7897,6224,16425,51,2011,P,Born elsewhere,902114,,
Born_elsewhere_C16_P,349172,306044,158743,54517,114069,8172,7305,18898,129,2016,P,Born elsewhere,1017049,,114935.0
Born_elsewhere_C21_P,400653,349046,196115,62617,131439,10943,8421,23101,190,2021,P,Born elsewhere,1182525,,165476.0
